descrizione,african,asian,caucasian,torso_dorsi_muscle,torso_pectoral_muscle,muscle,age,weight,height,proportions,breast_size,breast_firmness,vertical_position,gender,horizontal_distance,pointiness,breast_volume,nipple_size,nipple_point,face_head_fat,face_angle,face_oval,face_round,face_rectangular,face_square,face_triangular,face_invertedtriangular,face_diamond,face_age,torso_scale_depht,torso_scale_horizontally,torso_scale_vertically,torso_move_horizontally,torso_move_depht,torso_scale_cone_shape,fingers_distance,fingers_diameter,fingers_lenght,scale_hand,hand_position,neck_circum,neck_height,"('torso_scale_depht', 'torso_scale_horizontally', 'torso_scale_vertically', 'torso_move_horizontally', 'torso_move_depht', 'torso_scale_cone_shape')"
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,0,0,30,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,60,60,80,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,50,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,30,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,90,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,60.0,60.0,60.0,60.0,50
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,0,0,40,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,60,60,80,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,50,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,40,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,90,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,50.0,60.0,60.0,60.0,50
"Crea una donna adulta, di corporatura snella, etnia asiatica, con un viso rotondo",0,100,0,0,0,40,40,60,165,50,60,50,0,0,0,0,0,0,0,30,60,30,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,60.0,50.0,50
"Crea un uomo giovane, muscoloso, di altezza media, etnia africana, con spalle larghe e viso ovale.",100,0,100,80,80,80,28,85,175,50,0,50,0,2,0,0,0,0,0,40,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,50.0,60.0,60.0,50.0,60.0,50
"Crea una ragazza alta, snella, di etnia caucasica, con lineamenti delicati",0,0,100,0,0,40,22,55,180,50,70,50,0,0,0,0,0,0,0,30,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,40.0,50.0,60.0,40.0,50.0,50
"Crea un uomo adulto, alto, muscoloso, etnia asiatica, con un viso triangolare e lineamenti forti.",0,0,100,80,80,90,38,95,185,50,80,50,0,2,0,0,0,0,0,40,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,60,40,50.0,50.0,60.0,50.0,60.0,50
"Crea una donna giovane, di corporatura normale, etnia africana, con un viso rotondo",100,0,0,50,40,55,24,65,165,50,50,50,0,0,0,0,0,0,0,20,30,40,50,0,0,0,0,0,0,0,0,0,0,0,0,60,50,40.0,60.0,50.0,40.0,60.0,50
"Crea un uomo anziano, basso, snello e di etnia caucasica",0,0,100,0,0,40,70,50,170,50,60,50,0,2,0,0,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,60.0,50.0,50
"Crea una donna alta, snella, di etnia asiatica, con un viso triangolare",0,100,0,0,0,45,26,60,180,50,70,50,0,0,0,0,0,0,0,20,30,40,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,50.0,40.0,60.0,60.0,50.0,50
